resolusion,postanowienie,#N/A,
common,wspólny,#N/A,
common,powszechny/pospolity,common,
particular,szczególny/określony,common,
Private Lessons,korepetycje,particular,
apologise,przepraszać,#N/A,
insist,obstawać,common,
recommend,polecić,insist,
department store,Dom handlowy,common,
shut,zamknąć,department store,
to comprise,zawierać,shut,
robust,krzepki/mocny/solidny,department store,
leaky,przeciekający,insist,
concern,dotyczyć,common,
hence,w związku z tym,common,
emphasis,nacisk/podkreślenie/akcent,common,
intended,zamierzony,department store,
surges,skok (napięcia)/przypływ,intended,
manner,maniera/sposób (bycia),common,
assured,zapewniony,#N/A,
referred,odniesienie,department store,
Basing,bazowanie,apologise,
herein after referred,zwany dalej,department store,
fault,błąd/wina/usterka,department store,
restore,przywracać,fault,
attempt,próba,#N/A,
treat,leczyć,attempt,
provide,zapewniać,assured,
mitigate,załagodzić,fault,
dispute,spór,common,
allow,dopuszczać,#N/A,
let,pozwolić,attempt,
improper,nieprawidłwo,department store,
resample,ponowne próbkowanie,fault,
sparse,rzadki (rozrzucony),intended,
consistent,spójny/zgodny,common,
procedure,procedura,fault,
handling,obsługa,common,
enhance,wzmacniać,Basing,
perform,wykonać,improper,
sole,podeszwa,perform,
responsibility,odpowiedzialność,perform,
forwarded,przekazywane,fault,
scope,zakres,perform,
sufficient,wystarczający,scope,
boundary,granica,apologise,
examine,zbadać,department store,
against,przeciwko,#N/A,
reqiurements,reqiurements,fault,
dedicated,dedykowane,common,
afford,pozwolić sobie,#N/A,
determine,wyznaczyć,attempt,
conditional,warunkowy,assured,
balanced,zrównoważony/wyrównany ,#N/A,
slump,kryzys,perform,
unbearable,nie do zniesienia,slump,
hinge,zawias,fault,
swimming trunks,kompielówki,slump,
cheek,policzek,#N/A,
shoulder,ramie,perform,
anckle,kostka,allow,
wrist,nadgarstek,anckle,
frightened,przerażony,attempt,
polite,uprzejmy,balanced,
stubborn,uparty,polite,
nasty,paskudny,improper,
newcomers,nowicjusz,assured,
reliable,niezawodny,fault,
cheerful,wesoły,#N/A,
dreadfully,piekielnie,department store,
childish,dziecinny,#N/A,
frivolous,niepoważny,frightened,
surprised,zaskoczony,frivolous,
rather,raczej/dość,balanced,
penny wise,oszczędny,balanced,
fed up,mieć dość,common,
useful,pożyteczne,fed up,
decent,przyzwoity,Basing,
buckle,klamra,,
insult,zniewaga,,#N/A
hoax,oszustwo,,
tempted,Skuszony,,
doomed,stracony,,
pity,szkoda,,
dismal,ponury,,
insulting,obraźliwy,,
flaw,wada,,
circumstances,okoliczności,,
mighty,potężny,,
dicey,ryzykowny,,
