ćąęę€łłńććźżżąź, bird
praca, work
czlowiek, human
pies, dog
mysz, mouse
dlugopis, pen
lampka, lamp
papier, paper
sklanka, glass
slowo, word
makaron, pasta
ryz, rice
ziemniak, potato
kot, cat
lew, lion
osiol, donkey
miasto, city
wies, vilage
szkola, school
but,shoe
kozulka, T-shirt
skarpeta, socks
herbata, tea
ptak, bird
praca, work
czlowiek, human
pies, dog
mysz, mouse
dlugopis, pen
lampka, lamp
papier, paper
sklanka, glass
slowo, word
makaron, pasta
ryz, rice
ziemniak, potato
kot, cat
lew, lion
osiol, donkey
miasto, city
wies, vilage
szkola, school
but,shoe
kozulka, T-shirt
skarpeta, socks
herbata, tea
ptak, bird
praca, work
czlowiek, human
pies, dog
mysz, mouse
dlugopis, pen
lampka, lamp
papier, paper
sklanka, glass
slowo, word
makaron, pasta
ryz, rice
ziemniak, potato
kot, cat
lew, lion
osiol, donkey
miasto, city
wies, vilage
szkola, school
but,shoe
kozulka, T-shirt
skarpeta, socks
herbata, tea
ptak, bird
praca, work
czlowiek, human
pies, dog
mysz, mouse
dlugopis, pen
lampka, lamp
papier, paper
sklanka, glass
slowo, word
makaron, pasta
ryz, rice
ziemniak, potato
kot, cat
lew, lion
osiol, donkey
miasto, city
wies, vilage
szkola, school
but,shoe
kozulka, T-shirt
skarpeta, socks
herbata, tea
ptak, bird
praca, work
czlowiek, human
pies, dog
mysz, mouse
dlugopis, pen
lampka, lamp
papier, paper
sklanka, glass
slowo, word
makaron, pasta
ryz, rice
ziemniak, potato
kot, cat
lew, lion
osiol, donkey
miasto, city
wies, vilage
szkola, school
but,shoe
kozulka, T-shirt
skarpeta, socks
herbata, tea
ptak, bird
praca, work
czlowiek, human
pies, dog
mysz, mouse
dlugopis, pen
lampka, lamp
papier, paper
sklanka, glass
slowo, word
makaron, pasta
ryz, rice
ziemniak, potato
kot, cat
lew, lion
osiol, donkey
miasto, city
wies, vilage
szkola, school
but,shoe
kozulka, T-shirt
skarpeta, socks
herbata, tea
